Student,Subject,Evaluation_Type,Evaluation_Name,Exercise_Name,Grade
Paul Beige,English,WRITTEN_EXAM,Segundo Parcial,Ej2,7
Rita Teal,English,WRITTEN_EXAM,Primer Parcial,Ej16,0
Mona Azure,Physics,WRITTEN_EXAM,Examen Final,Ej8,1
Paul Beige,Biology,WRITTEN_EXAM,Examen Final,Ej9,9
Mona Purple,English,WRITTEN_EXAM,Primer Parcial,Ej17,6
Mona Beige,English,WRITTEN_EXAM,Primer Parcial,Ej8,4
Paul Red,Physics,WRITTEN_EXAM,Segundo Parcial,Ej9,4
Rita Davis,English,WRITTEN_EXAM,Segundo Parcial,Ej1,1
Alice Brown,Biology,WRITTEN_EXAM,Primer Parcial,Ej3,5
Quincy Yellow,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej10,6
Nick Green,Physics,WRITTEN_EXAM,Examen Final,Ej1,2
Hank Green,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej2,5
Frank Pink,Geography,PRACTICAL_WORK,TP3,Ej3,3
Liam White,Physics,WRITTEN_EXAM,Segundo Parcial,Ej2,8
Jack Blue,Statistics,WRITTEN_EXAM,Primer Parcial,Ej6,4
Nick Azure,Computer Science,PRACTICAL_WORK,TP1,Ej1,7
Quincy Orange,English,WRITTEN_EXAM,Primer Parcial,Ej20,9
Ivy Yellow,Geography,WRITTEN_EXAM,Examen Final,Ej3,2
Kelly Beige,Economics,WRITTEN_EXAM,Examen Final,Ej10,9
Ivy White,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej9,2
Jack Cyan,English,WRITTEN_EXAM,Primer Parcial,Ej20,2
Paul Pink,Sociology,ORAL_EXAM,Primer Parcial,Ej1,3
Eve Pink,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej5,2
Kelly Davis,Geography,WRITTEN_EXAM,Examen Final,Ej3,3
Jack Orange,Geography,WRITTEN_EXAM,Examen Final,Ej9,6
Olivia Gray,Physics,WRITTEN_EXAM,Primer Parcial,Ej4,6
Dana Yellow,English,WRITTEN_EXAM,Segundo Parcial,Ej17,1
Frank Purple,English,WRITTEN_EXAM,Segundo Parcial,Ej18,4
Charlie Indigo,Statistics,WRITTEN_EXAM,Primer Parcial,Ej3,2
Rita Magenta,Mathematics,WRITTEN_EXAM,Examen Final,Ej1,7
Charlie Davis,Sociology,ORAL_EXAM,Primer Parcial,Ej1,9
Ivy Black,Mathematics,PRACTICAL_WORK,TP1,Ej2,4
Jack Pink,Economics,WRITTEN_EXAM,Segundo Parcial,Ej6,3
Mona Yellow,Physics,FINAL_PRACTICAL_WORK,TP3,Ej5,6
Rita Azure,Physics,WRITTEN_EXAM,Examen Final,Ej2,2
Hank Beige,Geography,PRACTICAL_WORK,TP4,Ej2,1
Eve Azure,Statistics,WRITTEN_EXAM,Primer Parcial,Ej3,1
Bob Purple,Geography,PRACTICAL_WORK,TP4,Ej2,7
Bob Red,Economics,WRITTEN_EXAM,Segundo Parcial,Ej6,6
Hank Teal,Art,PRACTICAL_WORK,TP1,Ej1,8
Rita Indigo,English,WRITTEN_EXAM,Primer Parcial,Ej13,7
Ivy Magenta,Physics,FINAL_PRACTICAL_WORK,TP3,Ej3,7
Rita Cyan,Biology,WRITTEN_EXAM,Segundo Parcial,Ej10,4
Alice Cyan,Statistics,WRITTEN_EXAM,Examen Final,Ej3,8
Dana White,Physics,WRITTEN_EXAM,Primer Parcial,Ej5,7
Dana Green,Music,PRACTICAL_WORK,TP7,Ej1,3
Nick Azure,English,WRITTEN_EXAM,Primer Parcial,Ej11,1
Eve Cyan,English,WRITTEN_EXAM,Primer Parcial,Ej10,0
Frank Indigo,Physics,PRACTICAL_WORK,TP1,Ej1,4
Olivia Teal,Geography,PRACTICAL_WORK,TP2,Ej3,5
Liam Red,Economics,WRITTEN_EXAM,Primer Parcial,Ej6,8
Mona Teal,Statistics,WRITTEN_EXAM,Examen Final,Ej6,2
Mona Violet,Physics,WRITTEN_EXAM,Segundo Parcial,Ej3,2
Grace Green,Mathematics,PRACTICAL_WORK,TP1,Ej4,3
Quincy Pink,Geography,FINAL_PRACTICAL_WORK,TP3,Ej8,6
Sam Red,Physics,FINAL_PRACTICAL_WORK,TP3,Ej5,4
Bob Magenta,Economics,WRITTEN_EXAM,Segundo Parcial,Ej7,6
Eve Cyan,English,WRITTEN_EXAM,Primer Parcial,Ej20,4
Quincy Beige,Chemistry,WRITTEN_EXAM,Examen Final,Ej9,3
Bob Brown,Economics,WRITTEN_EXAM,Examen Final,Ej10,6
Frank Johnson,English,WRITTEN_EXAM,Primer Parcial,Ej1,8
Mona Blue,Geography,WRITTEN_EXAM,Examen Final,Ej7,3
Hank Davis,Chemistry,WRITTEN_EXAM,Examen Final,Ej3,2
Nick Johnson,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej9,5
Quincy Davis,Statistics,WRITTEN_EXAM,Examen Final,Ej7,9
Mona Yellow,Physics,WRITTEN_EXAM,Examen Final,Ej3,8
Sam Violet,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej10,6
Nick Indigo,English,WRITTEN_EXAM,Primer Parcial,Ej9,8
Alice Purple,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej5,9
Olivia Gray,Computer Science,PRACTICAL_WORK,TP10,Ej1,6
Olivia Cyan,Geography,PRACTICAL_WORK,TP3,Ej5,2
Dana Red,Mathematics,PRACTICAL_WORK,TP3,Ej3,7
Nick Gray,Biology,WRITTEN_EXAM,Segundo Parcial,Ej8,7
Kelly Yellow,Biology,WRITTEN_EXAM,Examen Final,Ej10,8
Eve Violet,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej4,9
Rita Red,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej7,7
Kelly Green,Physics,PRACTICAL_WORK,TP2,Ej5,1
Frank Red,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej8,8
Mona Blue,English,WRITTEN_EXAM,Segundo Parcial,Ej15,0
Sam Black,Geography,FINAL_PRACTICAL_WORK,TP3,Ej3,9
Grace Pink,Physics,PRACTICAL_WORK,TP2,Ej5,5
Paul Blue,Physics,WRITTEN_EXAM,Primer Parcial,Ej8,3
Quincy Yellow,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej5,1
Sam Gray,Physics,PRACTICAL_WORK,TP1,Ej3,10
Alice Orange,Biology,WRITTEN_EXAM,Primer Parcial,Ej7,5
Quincy Gray,English,WRITTEN_EXAM,Primer Parcial,Ej10,3
Charlie Azure,Computer Science,PRACTICAL_WORK,TP6,Ej1,5
Eve Orange,English,WRITTEN_EXAM,Segundo Parcial,Ej14,1
Sam Brown,Art,PRACTICAL_WORK,TP2,Ej1,7
Quincy Magenta,English,WRITTEN_EXAM,Segundo Parcial,Ej2,0
Quincy Brown,Biology,WRITTEN_EXAM,Examen Final,Ej6,3
Bob Gray,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej3,0
Charlie Red,Statistics,WRITTEN_EXAM,Primer Parcial,Ej6,1
Paul Red,English,WRITTEN_EXAM,Segundo Parcial,Ej11,3
Eve Orange,Biology,WRITTEN_EXAM,Segundo Parcial,Ej1,7
Mona Black,Physics,FINAL_PRACTICAL_WORK,TP3,Ej5,7
Paul White,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej1,2
Dana Indigo,Statistics,WRITTEN_EXAM,Primer Parcial,Ej8,10
Eve Teal,Physics,WRITTEN_EXAM,Examen Final,Ej2,1
Jack Green,Physics,PRACTICAL_WORK,TP2,Ej1,4
Alice White,English,WRITTEN_EXAM,Primer Parcial,Ej16,7
Ivy Yellow,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej2,2
Nick Purple,English,WRITTEN_EXAM,Primer Parcial,Ej9,3
Frank Purple,Economics,WRITTEN_EXAM,Examen Final,Ej9,3
